Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,Headline_clean,ultra_pos,ultra_neg,pos,neg,total_pos,total_neg,score,ratio,has_ultra_pos,has_ultra_neg,has_percent,has_number,Index_Change_Percent_num,headline_match,index_match,has_strong_keyword,quality_score,Trading_Volume_num,log_volume,headline_length,word_count,is_pos_change,is_neg_change,abs_change
2025-02-24,consumer discretionary stocks outperform as spending increases,The Motley Fool,Supply Chain Disruption,Russell 2000,4.99,176.58,positive,Utilities,High,Reliance Industries,https://www.business-standard.com/international-business/trade-policy,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,4.99,True,True,True,3,176.58,5.179421211604181,62,7,1,0,4.99
2025-06-22,a massive data breach sends a tech company s stock tumbling,Yahoo Finance,IPO Launch,Nasdaq Composite,1.41,141.37,positive,Materials,Medium,Boeing,https://economictimes.indiatimes.com/news/transportation,a massive data breach sends a tech company s stock tumbling,0,1,0,0,0,3,-3,0.0,0,1,0,0,1.41,False,True,True,2,141.37,4.958429302625654,59,11,1,0,1.41
2025-04-11,asx 200 gains on strong export performance,Wall Street Journal,Inflation Data Release,S&P/TSX Composite,,49.83,positive,Telecommunications,Low,Reliance Industries,https://www.moneycontrol.com/us-markets/dow-jones-industrial,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,,True,True,True,3,49.83,3.928486731458811,42,7,0,0,
2025-06-25,healthcare stocks gain on robust demand and strong outlook,MarketWatch,Interest Rate Change,IBOVESPA,,477.42,positive,Transportation,Low,Samsung Electronics,https://www.investopedia.com/articles/government-policy-announcement,healthcare stocks gain on robust demand and strong outlook,2,0,1,0,7,0,7,7.0,1,0,0,0,,True,True,True,3,477.42,6.170489007782642,58,9,0,0,
2025-07-04,asx 200 gains on strong export performance,Times of India,Market Rally,ASX 200,2.95,433.44,positive,Media & Entertainment,Low,Tesla,https://www.ft.com/content/tech-sector-innovation,asx 200 gains on strong export performance,1,0,0,0,3,0,3,3.0,1,0,0,1,2.95,True,True,True,3,433.44,6.0740578454118355,42,7,1,0,2.95
2025-04-13,media and entertainment companies report a surge in streaming revenue,Forbes,Cryptocurrency Regulation,KOSPI,-4.03,252.5,positive,Retail,Low,JP Morgan Chase,https://www.ft.com/content/consumer-confidence-report,media and entertainment companies report a surge in streaming revenue,1,0,0,0,3,0,3,3.0,1,0,0,0,-4.03,True,False,True,2,252.5,5.535363823031238,69,10,0,1,4.03
2025-07-04,mining company stock surges on commodity price boom,Financial Times,Central Bank Meeting,DAX,3.47,136.35,positive,Agriculture,Medium,Tata Motors,https://www.investopedia.com/articles/government-policy-announcement,mining company stock surges on commodity price boom,1,0,0,0,3,0,3,3.0,1,0,0,0,3.47,True,True,True,3,136.35,4.922532412541283,51,8,1,0,3.47
2025-06-25,healthcare stocks gain on robust demand and strong outlook,MarketWatch,Interest Rate Change,IBOVESPA,,477.42,positive,Transportation,Low,Samsung Electronics,https://www.investopedia.com/articles/government-policy-announcement,healthcare stocks gain on robust demand and strong outlook,2,0,1,0,7,0,7,7.0,1,0,0,0,,True,True,True,3,477.42,6.170489007782642,58,9,0,0,
2025-05-25,financial services stocks rally on strong profit margins,CNBC,Commodity Price Shock,DAX,1.02,74.49,positive,Materials,High,JP Morgan Chase,https://www.business-standard.com/economy/inflation-data,financial services stocks rally on strong profit margins,2,0,1,0,7,0,7,7.0,1,0,0,0,1.02,True,True,True,3,74.49,4.324000197151533,56,8,1,0,1.02
2025-06-15,consumer discretionary stocks outperform as spending increases,Barron's,Commodity Price Shock,S&P/TSX Composite,4.3,185.41,positive,Utilities,Medium,Samsung Electronics,https://www.marketwatch.com/story/commodities-price-shock,consumer discretionary stocks outperform as spending increases,1,0,0,0,3,0,3,3.0,1,0,0,0,4.3,True,True,True,3,185.41,5.227948548881154,62,7,1,0,4.3
