Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,Headline_clean,strong_positive_count,strong_negative_count,weak_positive_count,weak_negative_count,total_positive_score,total_negative_score,sentiment_score,sentiment_ratio,has_strong_positive,has_strong_negative,has_percent,has_dollar,has_number,has_action,predicted_from_headline,headline_sentiment_match,Index_Change_Percent_num,index_sentiment_match,Trading_Volume_num,log_volume,headline_length,word_count,avg_word_length,is_positive_change,is_negative_change,abs_change,change_magnitude
2025-05-26,manufacturing pmi data signals economic expansion,Barron's,Government Policy Announcement,DAX,-2.45,396.26,positive,Telecommunications,Low,ExxonMobil,https://www.wsj.com/china/market-regulation,manufacturing pmi data signals economic expansion,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,-2.45,False,396.26,5.9845909781648094,49,6,7.333333333333333,0,1,2.45,1.0
2025-08-11,government spending bill is expected to stimulate the economy,Mint,Inflation Data Release,Dow Jones,-3.57,293.49,negative,Real Estate,Low,Tata Motors,https://www.cnbc.com/2025/09/automotive-industry-trends,government spending bill is expected to stimulate the economy,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-3.57,True,293.49,5.685245046657743,61,9,5.888888888888889,0,1,3.57,2.0
2025-08-08,uk s ftse 100 sees a boost from favorable trade data,Financial Times,Central Bank Meeting,S&P/TSX Composite,4.44,448.75,positive,Retail,Medium,Goldman Sachs,https://www.forbes.com/finance/geopolitical-event-impact,uk s ftse 100 sees a boost from favorable trade data,0,0,2,0,2,0,2,2.0,0,0,0,0,1,0,positive,True,4.44,True,448.75,6.108691872830643,52,11,3.8181818181818183,1,0,4.44,2.0
2025-04-09,unexpected rise in unemployment fuels market pessimism,Mint,Supply Chain Disruption,Nikkei 225,-1.83,225.43,positive,Pharmaceuticals,Medium,Microsoft,https://www.reuters.com/markets/stocks/tech-rally,unexpected rise in unemployment fuels market pessimism,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,neutral,True,-1.83,False,225.43,5.42243584638443,54,7,6.857142857142857,0,1,1.83,1.0
2025-02-07,consumer discretionary stocks outperform as spending increases,Economic Times,Consumer Confidence Report,IBOVESPA,2.16,271.68,positive,Finance,High,Boeing,https://www.reuters.com/markets/indices/nikkei-225,consumer discretionary stocks outperform as spending increases,1,0,0,0,2,0,2,2.0,1,0,0,0,0,0,positive,True,2.16,True,271.68,5.6082989464945845,62,7,8.0,1,0,2.16,1.0
2025-04-29,asx 200 gains on strong export performance,Reuters,Geopolitical Event,Nikkei 225,-0.05,7.02,positive,Consumer Goods,Low,Reliance Industries,https://www.bloomberg.com/canada/tsunami-warnings,asx 200 gains on strong export performance,1,0,0,0,2,0,2,2.0,1,0,0,0,1,0,positive,True,-0.05,False,7.02,2.081938421878423,42,7,5.142857142857143,0,1,0.05,0.0
2025-04-11,record-high inflation data rattles investors,Business Standard,Commodity Price Shock,IBOVESPA,-4.25,261.38,negative,Transportation,High,JP Morgan Chase,https://www.business-standard.com/economy/trade-disputes-impact,record-high inflation data rattles investors,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,-4.25,True,261.38,5.569793834652884,44,5,8.0,0,1,4.25,2.0
2025-06-23,supply chain issues impact manufacturing sector earnings,Barron's,Corporate Earnings Report,Russell 2000,4.29,72.1,positive,Construction,High,JP Morgan Chase,https://www.wsj.com/china/market-rally,supply chain issues impact manufacturing sector earnings,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,neutral,False,4.29,True,72.1,4.291828366755733,56,7,7.142857142857143,1,0,4.29,2.0
2025-06-14,new regulations on cryptocurrencies cause a market dip,Financial Times,IPO Launch,CAC 40,1.96,78.55,negative,Utilities,Medium,Reliance Industries,https://www.business-standard.com/economy/inflation-data,new regulations on cryptocurrencies cause a market dip,0,0,0,1,0,1,-1,0.0,0,0,0,0,0,0,neutral,True,1.96,False,78.55,4.376385754783795,54,8,5.875,1,0,1.96,1.0
2025-06-05,asx 200 gains on strong export performance,Barron's,IPO Launch,Nikkei 225,-4.79,333.17,negative,Healthcare,Medium,Boeing,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,asx 200 gains on strong export performance,1,0,0,0,2,0,2,2.0,1,0,0,0,1,0,positive,False,-4.79,True,333.17,5.811649845525208,42,7,5.142857142857143,0,1,4.79,2.0
